candidate_id,headline,summary,skills,score
CAND_0083615,"Backend Engineer | SQL, Spark, Cloud","Software / data professional with 3.6 years of experience building data pipelines, backend systems, and analytics infrastructure. I'm a backend/data hybrid — Spark, Airflow, SQL warehouses are home territory; I'm building competence on the ML side. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice.","['Flask' 'Next.js' 'Image Classification' 'OpenCV' 'LlamaIndex' 'FastAPI'
 'Time Series' 'BentoML' 'ASR' 'Node.js' 'PostgreSQL'
 'Feature Engineering' 'Elasticsearch' 'Six Sigma' 'React']",0.6865091
CAND_0086364,"Backend Engineer | SQL, Spark, Cloud","Software / data professional with 7.1 years of experience building data pipelines, backend systems, and analytics infrastructure. I'm a backend/data hybrid — Spark, Airflow, SQL warehouses are home territory; I'm building competence on the ML side. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice.","['Marketing' 'Terraform' 'LangChain' 'Feature Engineering'
 'Diffusion Models' 'Pinecone' 'Information Retrieval' 'MongoDB'
 'Time Series' 'Hadoop' 'PEFT' 'Apache Beam' 'AWS']",0.6839489
CAND_0079845,"Backend Engineer | SQL, Spark, Cloud","Software / data professional with 6.1 years of experience building data pipelines, backend systems, and analytics infrastructure. Started my career in backend engineering and gradually moved closer to data — first dashboards, then ETL, now some basic ML. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice.","['Terraform' 'Scrum' 'OpenCV' 'TensorFlow' 'FastAPI' 'Weights & Biases'
 'Redux' 'ETL' 'Kubeflow' 'ASR' 'Elasticsearch' 'BentoML' 'Webpack'
 'MLOps']",0.68390936
CAND_0057101,"Backend Engineer | SQL, Spark, Cloud","Software / data professional with 6.6 years of experience building data pipelines, backend systems, and analytics infrastructure. Started my career in backend engineering and gradually moved closer to data — first dashboards, then ETL, now some basic ML. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice.","['Rust' 'Kafka' 'OpenCV' 'Vue.js' 'Kubeflow' 'Hugging Face Transformers'
 'Flask' 'PostgreSQL' 'scikit-learn' 'React' 'MLOps' 'Speech Recognition'
 'CNN' 'YOLO']",0.68339217
CAND_0028421,Cloud Engineer | Backend systems & APIs,"Software engineer with 7.1 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. My background is full-stack, but my comfort zone is the backend and the database. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.","['Spark' 'Django' 'AWS' 'Redux' 'GraphQL' 'Flask' 'TTS' 'Marketing'
 'Databricks' 'Reinforcement Learning' 'React' 'Angular' 'Java'
 'Photoshop']",0.68321735
CAND_0055537,"Backend Engineer | SQL, Spark, Cloud","Software / data professional with 2.6 years of experience building data pipelines, backend systems, and analytics infrastructure. Started my career in backend engineering and gradually moved closer to data — first dashboards, then ETL, now some basic ML. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice.","['PostgreSQL' 'Diffusion Models' 'ASR' 'Microservices' 'Photoshop' 'CNN'
 'Rust' 'Data Pipelines' 'Computer Vision' 'OpenSearch' 'TensorFlow' 'TTS'
 'LangChain' 'GANs' 'Fine-tuning LLMs' 'Kubeflow' 'Spring Boot']",0.6822104
CAND_0004380,"Backend Engineer | SQL, Spark, Cloud","Software / data professional with 2.0 years of experience building data pipelines, backend systems, and analytics infrastructure. I'm a backend/data hybrid — Spark, Airflow, SQL warehouses are home territory; I'm building competence on the ML side. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice.","['Reinforcement Learning' 'Node.js' 'LangChain' 'Sentence Transformers'
 'Illustrator' 'MLflow' 'Semantic Search' 'Django' 'Go' 'CNN' 'Snowflake'
 'AWS' 'BigQuery' 'Python']",0.6813886
CAND_0005632,"Backend Engineer | SQL, Spark, Cloud","Software / data professional with 5.6 years of experience building data pipelines, backend systems, and analytics infrastructure. Started my career in backend engineering and gradually moved closer to data — first dashboards, then ETL, now some basic ML. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice.","['GANs' 'Scrum' 'JavaScript' 'MLflow' 'scikit-learn' 'Pinecone'
 'OpenSearch' 'Kubernetes' 'Webpack' 'Time Series' 'Forecasting' 'YOLO'
 'Marketing' 'Object Detection' 'Illustrator' 'Elasticsearch']",0.6808591
CAND_0038599,"Backend Engineer | SQL, Spark, Cloud","Software / data professional with 4.9 years of experience building data pipelines, backend systems, and analytics infrastructure. I'm a backend/data hybrid — Spark, Airflow, SQL warehouses are home territory; I'm building competence on the ML side. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice.","['PyTorch' 'YOLO' 'MLflow' 'Data Science' 'Project Management' 'SAP'
 'LangChain' 'REST APIs' 'CNN' 'Weights & Biases' 'Machine Learning'
 'Vue.js' 'TensorFlow' 'Rust' 'Computer Vision' 'Node.js' 'JavaScript'
 'Diffusion Models' 'Sales']",0.680526
CAND_0049305,"Backend Engineer | SQL, Spark, Cloud","Software / data professional with 4.3 years of experience building data pipelines, backend systems, and analytics infrastructure. I'm a backend/data hybrid — Spark, Airflow, SQL warehouses are home territory; I'm building competence on the ML side. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice.","['Data Science' 'PyTorch' 'Haystack' 'Terraform' 'Weights & Biases'
 'MLflow' 'CI/CD' 'YOLO' 'JavaScript' 'ASR' 'Docker' 'Sales' 'Angular'
 'Vector Search' 'Hugging Face Transformers']",0.68017215
